index	isL5IT
SM-D9D7W_S03	0
SM-GE65R_S179	0
LS-15510_S14	1
SM-D9D6R_S28	0
SM-DAIGY_S04	1
SM-DAIGL_S02	1
SM-D9EQU_S89	1
SM-DAIFH_S15	1
SM-DAIFC_S55	0
SM-D9D86_S40	0
SM-D9D7Y_S01	0
SM-GE63U_S037	0
SM-DAIG7_S70	0
LS-15395_S46	1
SM-D9EQD_S29	0
SM-D9D8D_S17	0
SM-D9D8D_S21	0
SM-DD44P_S55	0
SM-DAIG4_S44	0
SM-DD44S_S82	0
SM-DAIG4_S42	0
LS-15532_S43	1
LS-15520_S02	1
SM-D9EQE_S58	0
LS-15532_S52	1
SM-GE666_S092	0
SM-D9D8I_S41	0
SM-D9D8R_S48	1
SM-DAIGL_S28	0
SM-GE66H_S188	0
LS-15524_S10	1
SM-GE63U_S103	0
SM-DD44P_S58	0
SM-D9D8I_S49	0
SM-DD44R_S71	0
LS-15522_S53	0
SM-GE66H_S189	0
SM-DAIFH_S09	1
SM-DAIG6_S46	0
SM-DAIGU_S18	1
SM-DD43Q_S76	1
SM-GE65A_S136	0
SM-GE63U_S016	0
LS-15524_S12	1
SM-DAIFS_S09	0
LS-15501_S33	1
SM-DD43M_S43	1
SM-D9E5T_S81	1
LS-15396_S56	1
LS-15521_S16	1
SM-GE63U_S114	0
LS-15522_S15	1
SM-GE65R_S155	0
SM-GE666_S093	0
SM-GE65R_S177	0
SM-D9E6R_S28	0
SM-DAIFT_S19	0
SM-DD44P_S61	0
SM-DAIG7_S80	1
LS-15521_S03	1
SM-D9EQU_S95	1
SM-DAIGW_S52	1
SM-D9EQK_S02	0
SM-DAIFH_S11	1
SM-D9EQM_S48	1
SM-DAIFT_S27	0
SM-GE63U_S024	0
SM-DAIFA_S41	0
SM-DAIHG_S84	1
SM-DAIGL_S32	0
SM-GE631_S011	0
SM-D9D7X_S50	0
SM-DAIFH_S13	1
LS-15524_S87	1
SM-DAIGV_S13	1
SM-DAIHC_S38	1
LS-15522_S01	1
SM-DAIG6_S43	0
SM-D9D7W_S18	0
SM-D9E5N_S53	0
SM-GE65R_S187	0
SM-DAIG4_S81	0
SM-D9E5T_S95	1
SM-D9D7Y_S40	0
SM-DAIFR_S39	0
SM-D9E5O_S17	1
SM-DAIFV_S41	0
SM-DD44S_S89	0
SM-D9EQC_S15	0
SM-D9EQH_S48	0
SM-DD44D_S58	1
SM-D9D8R_S42	1
SM-GE66H_S173	0
SM-D9ER5_S04	1
SM-DAIG9_S10	0
SM-GE631_S016	0
SM-DD43R_S55	1
SM-DAIGR_S44	0
SM-DAIG9_S13	0
SM-GE666_S064	0
SM-DAIH6_S27	0
SM-DAIG7_S83	1
SM-DAIGK_S49	0
SM-DAIFH_S57	0
LS-15521_S42	1
LS-15524_S74	1
SM-D9D8H_S56	0
LS-15510_S37	0
SM-GE8ZO_S058	0
SM-DD43Q_S45	1
SM-D9ER5_S16	1
SM-DD44B_S68	1
SM-D9E5R_S44	0
SM-D9D8O_S11	0
SM-DAIFT_S48	0
SM-D9D7V_S19	0
SM-D9E5E_S06	1
SM-DD43M_S30	1
SM-DAIG5_S61	0
SM-DAIFW_S79	0
SM-DD44O_S06	1
SM-GE65I_S137	0
SM-GE63U_S025	0
SM-D9D6R_S16	0
LS-15524_S17	1
SM-DAIFU_S31	0
SM-D9E5E_S09	1
SM-D9D8G_S33	0
SM-D9EQH_S54	0
SM-DAIG7_S52	0
LS-15510_S01	1
LS-15524_S09	1
SM-D9D8G_S19	0
SM-D9D8D_S23	0
SM-DAIGA_S18	0
SM-DAIFU_S35	0
SM-GE666_S057	0
SM-D9E5T_S09	1
SM-DAIFU_S28	0
SM-D9EQD_S18	1
SM-DAIG6_S29	0
SM-GE66H_S160	0
SM-DAIHG_S65	1
SM-D9E5T_S82	1
SM-DAIFU_S10	0
SM-D9EQM_S82	1
SM-DD44Q_S70	0
SM-DAIFC_S30	0
SM-DD43R_S54	1
LS-15510_S25	0
SM-DAIGX_S12	0
SM-DAIGX_S09	0
LS-15395_S50	1
SM-DAIGL_S30	0
SM-DAIGA_S17	0
SM-D9D7W_S16	0
SM-DAIGA_S48	0
SM-DD44Q_S72	0
SM-D9E5E_S03	1
SM-DAIG4_S93	0
SM-DAIFV_S52	0
SM-DAIFW_S82	0
SM-GE659_S011	0
LS-15398_S18	0
SM-D9E67_S41	0
SM-DAIGX_S23	0
SM-D9E5E_S15	1
SM-GE63U_S021	0
SM-D9EQU_S65	1
SM-DAIGQ_S08	0
SM-GE63U_S119	0
SM-DAIFI_S74	0
SM-DAIFU_S32	0
SM-D9D87_S02	0
SM-D9E5O_S37	0
SM-GE63U_S018	0
SM-DAIG7_S40	0
LS-15521_S48	1
SM-D9E5E_S41	0
SM-D9D7W_S70	0
SM-D9D8Q_S08	0
SM-GE63U_S115	0
SM-D9D86_S38	0
SM-D9EQI_S35	0
LS-15533_S11	1
SM-D9E5Q_S10	0
